CONFORMED-NAME	TICKER	SIC	CIK	YEAR
Mattersight Corp-16	MATR	7373	1094348	2016
VIAD CORP-16	VVI	7389	884219	2016
EDGEWATER TECHNOLOGY INC/DE/-16	EDGW	7370	1017968	2016
APX Group Holdings, Inc.-16	Unknown	7380	1584423	2016
SYDYS CORP-16	SYYC	7310	1309141	2016
INTERNATIONAL AUTOMATED SYSTEMS INC-16	IAUS	7372	820380	2016
AEROCENTURY CORP-16	ACY	7359	1036848	2016
Quotient Technology Inc.-16	COUP	7310	1115128	2016
TechTarget Inc-16	TTGT	7389	1293282	2016
RIGHTSIDE GROUP, LTD.-16	NAME	7389	1589094	2016
Everyday Health, Inc.-16	EVDY	7374	1358483	2016
CROSS COUNTRY HEALTHCARE INC-16	CCRN	7363	1141103	2016
CROSS COUNTRY HEALTHCARE INC-16	CCRN	7363	1141103	2016
NV5 Global, Inc.-16	NVEE	7380	1532961	2016
PureBase Corp-16	Unknown	7380	1575858	2016
Rocket Fuel Inc.-16	FUEL	7370	1477200	2016
3D SYSTEMS CORP-16	DDD	7372	910638	2016
Diligent Corp-16	DIL	7372	1433269	2016
GOLDEN ENTERTAINMENT, INC.-16	LACO	7990	1071255	2016
Snap Interactive, Inc-16	STVI	7389	1355839	2016
DATALINK CORP-16	DTLK	7373	1056923	2016
INNODATA INC-16	INOD	7374	903651	2016
POWERSECURE INTERNATIONAL, INC.-16	POWR	7389	882154	2016
Smart Server, Inc-16	Unknown	7371	1596961	2016
Morgans Hotel Group Co.-16	MHGC	7011	1342126	2016
Morgans Hotel Group Co.-16	MHGC	7011	1342126	2016
ROSETTA STONE INC-16	RST	7372	1351285	2016
COMPUTER PROGRAMS & SYSTEMS INC-16	CPSI	7371	1169445	2016
StarTek, Inc.-16	SRT	7363	1031029	2016
Higher One Holdings, Inc.-16	ONE	7389	1486800	2016
Qumu Corp-16	QUMU	7372	892482	2016
PENN NATIONAL GAMING INC-16	PENN	7011	921738	2016
OptimizeRx Corp-16	OPRX	7389	1448431	2016
PFSWEB INC-16	PFSW	7389	1095315	2016
IMAGEWARE SYSTEMS INC-16	IW	7372	941685	2016
EXP Realty International Corp-16	DSETD	7389	1495932	2016
Hortonworks, Inc.-16	HDP	7372	1610532	2016
LIVEPERSON INC-16	LPSN	7372	1102993	2016
Altisource Portfolio Solutions S.A.-16	ASPS	7380	1462418	2016
WIDEPOINT CORP-16	WDPT	7373	1034760	2016
Quest Resource Holding Corp-16	IRHC	7359	1442236	2016
Voltari Corp-16	VLTC	7389	1568319	2016
SAJAN INC-16	SAJA	7389	1118037	2016
SOCIAL REALITY, Inc.-16	SCRI	7311	1538217	2016
INTERNATIONAL MONETARY SYSTEMS LTD /WI/-16	ITNM	7389	1097430	2016
MobileSmith, Inc.-16	SOLN	7372	1113513	2016
Accelerize Inc.-16	Unknown	7389	1352952	2016
Green Endeavors, Inc.-16	GRNE	7200	1487997	2016
SPEEDWAY MOTORSPORTS INC-16	TRK	7948	934648	2016
IDI, Inc.-16	IDI	7310	1460329	2016
MENTOR GRAPHICS CORP-16	MENT	7373	701811	2016
EXA CORP-16	EXA	7372	890264	2016
Global Medical REIT Inc.-16	SOOP	7200	1533615	2016
DIRECT INSITE CORP-16	DIRI	7373	879703	2016
INTELLIGENT CLOUD RESOURCES INC.-16	Unknown	7374	1634912	2016
Synacor, Inc.-16	SYNC	7370	1408278	2016
Workday, Inc.-16	WDAY	7374	1327811	2016
American Casino & Entertainment Properties LLC-16	Unknown	7011	1297735	2016
ICON ECI Fund Sixteen-16	Unknown	7359	1561679	2016
AUTODESK INC-16	ADSK	7372	769397	2016
PetVivo Holdings, Inc.-16	Unknown	7372	1512922	2016
China Media Group CORP-16	Unknown	7310	1211211	2016
Bright Mountain Media, Inc.-16	BMAQ	7371	1568385	2016
Command Center, Inc.-16	CCNI	7363	1140102	2016
STRATEGIC INTERNET INVESTMENTS INC-16	SIII	7372	53320	2016
INTERFACE SECURITY SYSTEMS HOLDINGS INC-16	Unknown	7380	1164255	2016
MEDICAL TRANSCRIPTION BILLING, CORP-16	MTBC	7372	1582982	2016
ICON ECI FUND FIFTEEN, L.P.-16	Unknown	7359	1502519	2016
SYMBID CORP.-16	Unknown	7389	1532595	2016
SYMBID CORP.-16	Unknown	7389	1532595	2016
Lightning Gaming, Inc.-16	Unknown	7372	1392545	2016
Lightning Gaming, Inc.-16	Unknown	7372	1392545	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
THEGLOBE COM INC-16	TGLO	7310	1066684	2016
THEGLOBE COM INC-16	TGLO	7310	1066684	2016
GSE SYSTEMS INC-16	GVP	7372	944480	2016
GSE SYSTEMS INC-16	GVP	7372	944480	2016
InnoVision Labs, Inc-16	GLSO	7372	1487522	2016
InnoVision Labs, Inc-16	GLSO	7372	1487522	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
SOTHERLY HOTELS LP-16	Unknown	7011	1313536	2016
SOTHERLY HOTELS LP-16	Unknown	7011	1313536	2016
KLEVER MARKETING INC-16	KLMK	7372	866439	2016
KLEVER MARKETING INC-16	KLMK	7372	866439	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
ICON LEASING FUND ELEVEN, LLC-16	Unknown	7359	1312910	2016
ACQUIRED SALES CORP-16	AQSP	7372	1391135	2016
BAKKEN ENERGY CORP.-16	ORFG	7500	1438672	2016
Helios & Matheson Analytics Inc.-16	HMNA	7380	1040792	2016
chatAND, Inc.-16	Unknown	7372	1529133	2016
Lockbox Link, Inc.-16	Unknown	7372	1613489	2016
FUSION TELECOMMUNICATIONS INTERNATIONAL INC-16	FSN	7372	1071411	2016
INTELLINETICS, INC.-16	GWIV	7372	1081745	2016
B. Riley Financial, Inc.-16	GAMR	7389	1464790	2016
GRANDPARENTS.COM, INC.-16	PBME	7374	1020475	2016
Innovative Product Opportunities Inc.-16	Unknown	7389	1494413	2016
CHINA RECYCLING ENERGY CORP-16	CREG	7389	721693	2016
Litera Group Inc-16	Unknown	7812	1648903	2016
KINGOLD JEWELRY, INC.-16	AWLD	7389	1089531	2016
INFORMATION ANALYSIS INC-16	IAIC	7372	803578	2016
Computron, Inc.-16	Unknown	7389	1622867	2016
CREDITRISKMONITOR COM INC-16	CRMZ	7320	315958	2016
SPECTRAL CAPITAL Corp-16	FSAC	7374	1131903	2016
Science Applications International Corp-16	SAIC	7373	1571123	2016
Galaxy Gaming, Inc.-16	GLXZ	7900	13156	2016
OMNICOMM SYSTEMS INC-16	OMCM	7389	1034592	2016
ROKWADER, INC.-16	Unknown	7900	1322952	2016
ELEPHANT TALK COMMUNICATIONS CORP-16	ETAK	7373	1084384	2016
CASTLE GROUP INC-16	Unknown	7011	918543	2016
ATEL CAPITAL EQUIPMENT FUND VIII LLC-16	Unknown	7359	1069152	2016
ATEL 12, LLC-16	Unknown	7359	1394922	2016
SharpSpring, Inc.-16	SMTP	7331	1506439	2016
FIRST RATE STAFFING Corp-16	Unknown	7363	1522215	2016
CANTERBURY PARK HOLDING CORP-16	ECP	7948	926761	2016
Net Element, Inc.-16	NETE	7374	1499961	2016
MassRoots, Inc.-16	Unknown	7370	1589149	2016
NETWORK 1 TECHNOLOGIES INC-16	NTIP	7372	1065078	2016
ATEL 16, LLC-16	Unknown	7359	1575048	2016
QUOTEMEDIA INC-16	QMCI	7389	1101433	2016
SilverSun Technologies, Inc.-16	TYRIA	7389	1236275	2016
SPAR GROUP INC-16	SGRP	7389	1004989	2016
ASTEA INTERNATIONAL INC-16	ATEA	7372	945989	2016
China Network Media, Inc.-16	Unknown	7374	1440760	2016
Freeze Tag, Inc.-16	Unknown	7372	1485074	2016
MJ Holdings, Inc.-16	Unknown	7389	1456857	2016
ATEL Growth Capital Fund 8, LLC-16	Unknown	7359	1537069	2016
ATEL 15, LLC-16	Unknown	7359	1519117	2016
Nexus Enterprise Solutions, Inc.-16	NXES	7389	1561781	2016
ATEL CAPITAL EQUIPMENT FUND X LLC-16	Unknown	7359	1186258	2016
Max Sound Corp-16	MAXD	7374	1353499	2016
Sysorex Global-16	SYRX	7371	1529113	2016
3PEA INTERNATIONAL, INC.-16	TPNL	7389	1496443	2016
Net Medical Xpress Solutions, Inc.-16	NMXS	7372	1101865	2016
SPLUNK INC-16	SPLK	7372	1353283	2016
ChinAmerica Andy Movie Entertainment Media Co.-16	CAME	7380	1543605	2016
ELRAY RESOURCES, INC.-16	Unknown	7372	1402371	2016
COMMONWEALTH INCOME & GROWTH FUND IV-16	Unknown	7350	1141615	2016
MULTIMEDIA PLATFORMS INC.-16	PFVR	7372	1424328	2016
TABLE TRAC INC-16	TBTC	7990	1090396	2016
RedStone Literary Agents, Inc.-16	Unknown	7389	1515139	2016
Propel Media, Inc.-16	Unknown	7374	1622822	2016
Modsys International Ltd-16	BPHX	7371	1029581	2016
Halo Companies, Inc.-16	HALN	7320	814286	2016
Domain Extremes Inc.-16	Unknown	7374	1469038	2016
Upland Software, Inc.-16	UPLD	7372	1505155	2016
BOX INC-16	BOX	7372	1372612	2016
ASURE SOFTWARE INC-16	ASUR	7373	884144	2016
SPINDLE, INC.-16	CYHF	7389	1403802	2016
CREDIT ONE FINANCIAL INC-16	COFI	7310	1201135	2016
Interpace Diagnostics Group, Inc.-16	PDII	7389	1054102	2016
ATEL Capital Equipment Fund XI, LLC-16	Unknown	7359	1297667	2016
Logicquest Technology, Inc.-16	BGAT	7389	768216	2016
AUXILIO INC-16	AUXO	7389	1011432	2016
Professional Diversity Network, Inc.-16	IPDN	7370	1546296	2016
PAID INC-16	PAYD	7389	1017655	2016
TETRIDYN SOLUTIONS INC-16	Unknown	7372	827099	2016
Commonwealth Income & Growth Fund VI-16	Unknown	7350	1351901	2016
ReachLocal Inc-16	RLOC	7311	1297336	2016
Genius Brands International, Inc.-16	GNUS	7812	1355848	2016
McorpCX, Inc.-16	TPOI	7372	1535079	2016
POW! ENTERTAINMENT, INC.-16	POWN	7812	1505892	2016
SPEEDEMISSIONS INC-16	SPEM	7500	1158419	2016
ATEL CAPITAL EQUIPMENT FUND IX LLC-16	Unknown	7359	1125264	2016
Commonwealth Income & Growth Fund VII, LP-16	Unknown	7350	1450335	2016
COMMONWEALTH INCOME & GROWTH FUND V-16	Unknown	7350	1253347	2016
Home Treasure Finders, Inc.-16	Unknown	7389	1527102	2016
Moms Online, Inc.-16	Unknown	7374	1619174	2016
International Metals Streaming Corp.-16	Unknown	7500	1553734	2016
TELOS CORP-16	TLSRP	7373	320121	2016
CICERO INC-16	CICN	7371	945384	2016
Data Storage Corp-16	DTST	7374	1419951	2016
Data Storage Corp-16	DTST	7374	1419951	2016
ATEL 14, LLC-16	Unknown	7359	1463389	2016
LEAF Equipment Finance Fund 4, L.P.-16	Unknown	7350	1426850	2016
RERAISE GAMING CORP-16	Unknown	7990	1592411	2016
ALTERNET SYSTEMS INC-16	ALYI	7372	1126003	2016
Boston Carriers, Inc.-16	Unknown	7389	1174672	2016
ICON LEASING FUND TWELVE, LLC-16	Unknown	7359	1377848	2016
ICON Equipment & Corporate Infrastructure Fund Fourteen, L.P.-16	Unknown	7359	1446806	2016
Ticket Corp.-16	Unknown	7990	1570279	2016
MOBIVITY HOLDINGS CORP.-16	MFON	7372	1447380	2016
MEDRESPONSE CORP.-16	Unknown	7373	1600750	2016
InsPro Technologies Corp-16	HBDT	7372	1309442	2016
VEEVA SYSTEMS INC-16	VEEV	7372	1393052	2016
OPTILEAF, INC.-16	Unknown	7372	1628228	2016
NowNews Digital Media Technology Co. Ltd.-16	Unknown	7310	1509477	2016
DOLPHIN DIGITAL MEDIA INC-16	DPDM	7200	1282224	2016
usell.com, Inc.-16	UPST	7200	1271075	2016
usell.com, Inc.-16	UPST	7200	1271075	2016
OCULUS VISIONTECH INC.-16	USVO	7389	1107280	2016
HEALTHEQUITY INC-16	HQY	7389	1428336	2016
SCORES HOLDING CO INC-16	SCRH	7900	831489	2016
SCORES HOLDING CO INC-16	SCRH	7900	831489	2016
Cornerworld Corp-16	CWRL	7385	1338242	2016
